Card ID,Name,Game,Card Type,Cycle,Card Size,Flavor,Traits,Story Paragraphs,Ability 1,Ability 2,Ability 3,Stat,FAQ,Errata
AG0134,Siren Survivor,Odyssey,Mnemos,Cycle I,Standard,"Against all odds, you've survived. Why?","Voyage, Supernatural, Deed","3, 13, 23",$Exhuast Discard a Condition token or @Discard instead to discard a Condition card,%Danger 3+% $Exhaust Discard a Condition token from another Titan or @Discard instead to discard a Condition card from another Titan,"%Danger 4+% $Exhaust When you are about to gain a Condition card or token, roll a d10. On a 6+, ignore this gain","Courage, Will",,
AG0135,Someone Waiting,Odyssey,Mnemos,Cycle I,Standard,"You can't quite put a finger on it, but there's a soft pull on your soul's strings each time you look to the north","Voyage, Family, Gods","5, 15, 25",$Exhaust Stand up. You can use this ability while knocked down,%Danger 3+% $Exhaust Another Titan may stand up,"%Danger 4+% When you are about to suffer Knockdown, you may roll a d10. On a 6+, ignore this Knockdown","Cunning, Endurance",,
AG0136,A Dream You Hold,Odyssey,Mnemos,Cycle I,Standard,"You are not some castaway on life's tumultuous ocean. Come hell or high water, you will fulfill your dream","Dream, Voyage, Fate","1, 11, 21",Titans adjacent to you have +1 Precision,%Danger 3+% $Exhaust Another Titan may move 1 space,"%Danger 8+% $Fate $Exhaust When you attack, use another Titan's Kratos Table for this Attack","Wisdom, Will",,
AG0137,Family Feud,Odyssey,Mnemos,Cycle I,Standard,Some things should never be spoken. Some bridges can never be rebuilt. There is a wound on your heart that may never heal,"Family, Tragedy, Crime","8, 18, 28",$Exhaust Place 1 Opening or Break token in the Kratos Pool,"%Danger 4+% $Exhaust If the Kratos Pool is empty, place up to 2 Opening and/or Break tokens in the Kratos Pool","%Danger 6+% $Fate $Exhaust If the Kratos Pool is empty, place up to 3 Opening and/or Break tokens in the Kratos Pool","Courage, Cunning",,
AG0138,Imprisonment,Odyssey,Mnemos,Cycle I,Standard,"Who can tell how long it's been? Dark and damp, and cramped and lonely, the cell gave no quarters. Just a tiny crack in the wall","Curse, Dream, Crime","2, 12, 22",{Knockback Reduction 2},{Pushback Reduction 1},"When you suffer Knockback, you may lose -1 @Danger","Endurance, Wisdom",,
AG0139,Haunted,Odyssey,Mnemos,Cycle I,Standard,You past lingers like a waft of cold air. Something happened to you. Something... unspeakable,"Fate, Supernatural, Curse","9, 19, 29","Once per adventure, you may re-roll any d10 roll","$Fate When you are about to roll a d10 during an adventure, add +3 to this roll (once per adventure)","$Fate $Fate When you are about to perform an Argonaut Test during an adventure, automatically pass this test instead (once per adventure)","Wisdom, Will",,
AG0140,A Broken Promise,Odyssey,Mnemos,Cycle I,Standard,"A word's no shield, it's easily broken. You probably had a reason, oathbreaker. They all do","Deed, Tragedy, Family","6, 16, 26","When you are on a Rear space, you gain +1 Precision","%Danger 4+% When you are on a Rear space, you gain {Power Re-roll 1}","%Danger 6+% When you are on a Rear space, you gain {Auto-break 1}","Cunning, Fury",,
AG0141,A Night To Remember,Odyssey,Mnemos,Cycle I,Standard,Warm air and cold wine and fabulous colors on the night sky. A love realized or an age attained. A joyous celebration,"Deed, Heritage, Dream","10, 20, 30",$Exhaust Unexhaust a @Gear card,%Danger 4+% $Exhaust Another Titan may unexhaust a @Gear card,"$Fate $Fate When you are about to exhaust a card, ignore this exhaust","Courage, Fury",,
AG0142,Death Follows,Odyssey,Mnemos,Cycle I,Standard,"Most people brush with death, but when he brushed with you, Tanatos paused. You have been trying to outrun him ever since","Gods, Heritage, Fate","31, 41, 37","$Discard When you are about to perform a Power Roll, add 1 @RedPowerDie to your Power Pool","%Danger 4+% $Discard When you are about to perform a Power Roll, add 1 @BlackPowerDie to your Power Pool","%Danger 8+% $Discard When you are about to perform a Power Roll, add 2 @Power for this Roll","Endurance, Fury",,
AG0143,Minoan Heritage,Odyssey,Mnemos,Cycle I,Standard,"Everywhere you look, familiarity. Your roots are buried under the Shattered Island. Or the Shattered Island is burying into you","Voyage, Heritage, Fate","4, 14, 24","$Exhaust During @MovementAction, gain +1 @Speed for this movement","%Danger 3+% $Exhaust During @MovementAction, gain +2 @Speed and {Bypass} for this movement","%Danger 4+% $Exhaust During @MovementAction, gain +3 @Speed and {Bypass} for this movement and gain {Vault} until the end of your turn","Wisdom, Courage",,
AG0144,Blood On Your Hands,Odyssey,Mnemos,Cycle I,Standard,A look. A word. A misunderstanding and a mistake. You can't wash it off,"Deed, Crime, Tragedy","7, 17, 27","After you raise you @Rage for any reason, if your @Rage is equal to current @PriorityTarget Priority Target's @Rage, you may gain the @PriorityTarget Priority Target token","%Danger 4+% If you are the @PriorityTarget Priority Target, you gain +1 Precision","%Danger 7+% If you are the @PriorityTarget Priority Target, you gain {Auto-break 1}","Fury, Cunning",,
AG0145,A Familiar Curse,Odyssey,Mnemos,Cycle I,Standard,"Restless days in sweat and shade, sleepless nights under dim stars","Fate, Gods, Curse","32, 43, 34",%Danger 3+% $Fate $Exhaust Turn the Primordial in your direction,"%Danger 4+% $Exhaust When another Titan is about to gain a Condition card or Condition token, gain it instead","%Danger 7+% $Fate $Danger $Exhaust While resolving an AI card, when the Primordial moves adjacent to you, become the Target of this AI card","Endurance, Wisdom",,
AG0146,Curse Of The Gods,Odyssey,Mnemos,Cycle I,Standard,Even in death their words have weight - and consequences,"Heritage, Fate, Voyage","33, 36, 38","$Exhaust During an Attack Roll, re-roll all 1s on non-Crit dice",%Danger 6+% $Discard Re-roll an Awakening roll,"$Fate $Discard WHen another Titan is about to gain @Danger, you gain it instead. If this @Danger was dealt by an Attack, resolve a Trauma Draw","Endurance, Will",,
BG0645,Runt Of The Litter,Odyssey,Mnemos,Cycle II,Standard,You were the weakest of the lot. Were they mistaken?,"Curse, Heritage, Fate","7, 17, 27",$Exhaust Change 1 negative modifier token into a positive one,%Danger 4+% $Exhaust Gain 1 temporary positive @Evasion token,%Danger 7+% $Discard Gain or lose up to 2 @Rage,"Cunning, Wisdom",,
BG0646,Mésalliance,Odyssey,Mnemos,Cycle II,Standard,Tyrannous customs branded you a bastard,"Deed, Family, Dream","2, 12, 22","When you break a Combo, place 1 Opening or Break token in the Kratos Pool","%Danger 2+% When you break a Combo, you may lose -1 @Fate","%Danger 6+% $Discard When you break a Combo, perform a Bonus Attack!","Will, Courage",,
BG0647,Left For Dead,Odyssey,Mnemos,Cycle II,Standard,"They've all written you off, yet your story is still unwritten","Deed, Tragedy, Crime","8, 18, 28","$Discard When you survive an Obol, lose up to -3 @Danger and up to -2 @Fate","$Discard When you are about to die from an Instant Death effect, draw an Obol instead","If you are the last Titan alive, you cannot suffer Knockdown and your Titan's Power Die becomes @BlackPowerDie","Endurance, Fury",,
BG0648,Spewed By The Abyss,Odyssey,Mnemos,Cycle II,Standard,Even darkness did not want you,"Supernatural, Fate, Gods","4, 14, 24","When you are about to gain at least 1 Ambrosia token, test (8+) for each of these tokens. For each success, lower Ambrosia gain by 1",$Discard Discard up to 2 Ambrosia tokens,"%Danger 7+% $Discard When you are about to draw a Trauma card, gain Ambrosia tokens instead: 1 for Minor, 2 for Major, 3 for Grave, and 4 for an Obol","Will, Fury",,
BG0649,Coward's Way,Odyssey,Mnemos,Cycle II,Standard,You owe your cowardice your life. But what kind of life is it?,"Deed, Voyage, Crime","3, 13, 23","$Exhaust Before performing a Power Roll, gain @Fate equal to the BP level to immediately fail this Attack instead, ignoring the Fail Responses. If you do, do not place any tokens in the Kratos Pool","%Danger 3+% $Fate $Exhaust When you fail to Wound, place the BP card back on top of the BP deck instead of discarding it","%Danger 5+% $Discard When you are about to become the Target of an Attack, swap places with an adjacent Titan. That Titan becomes the Target instead","Cunning, Wisdom",,
