Card ID,Name,Game,Card Type,Cycle,Card Size,Found In,Title,Requirements,Effects,FAQ,Errata
AP0389,Engine Nymph,Odyssey,Nymph,Cycle I,Tarot,Secret Deck 03,God-Charged Engine,3 @Hull or less,"When you are about to move the Argo, move the Argo two times instead. Do not resolve any other Voyage steps on the first tile moved to. If the tile you ignored was unexplored, place the Engine Nymph token on it. Next time you enter that tile, discard that token and treat the tile as if you have just revealed it",,
AP0390,Solitude Nymph,Odyssey,Nymph,Cycle I,Tarot,Secret Deck 03,Gaia's Hold,At least 1 Titan has died or drawn an Obol,"Immediately discard the drawn AI card, without resolving it. Treat it as resolved",,
AP0391,Amalthean Nymph,Odyssey,Nymph,Cycle I,Tarot,Secret Deck 03,Amalthea's Milk,At least 1 Titan has died or drawn an Obol. When a Titan is about to die from an Obol Draw,"Treat the Titan as if they drew a _You Live!_ Obol card. Additionally, they lose -3 @Danger and -3 @Fate",,
AP0392,Labyrinth Nymph,Odyssey,Nymph,Cycle I,Tarot,Secret Deck 03,Minotaur Logic,At least 1 Titan has died or drawn an Obol. When a Titan is about to die from an Obol Draw,"Immediately remove, move, or place 3 different Labyrinth tiles anywhere on the Board. All moved or placed tiles must create a connected Labyrinth path. The first Titan Attack this Round performed from a Labyrinth tile gains +1 @Power",,
AP0393,Depths Nymph,Odyssey,Nymph,Cycle I,Tarot,Secret Deck 03,Midnight Tide,Any Titan has at least 4 Ambrosia tokens. Gain +6 @Fate as a group,Immediately remove all Terrain tiles with the Ambrosia keyword and discard all Ambrosia tokens from all Titans,,
BP0705,Sweets Nymph,Odyssey,Nymph,Cycle II,Tarot,Secret Deck 06,Grand Fete,Be on a @City tile. You cannot use Voyage Technology abilities this day,Lower @ArgoFate to 0,,
BP0706,Nietzschean Nymph,Odyssey,Nymph,Cycle II,Tarot,Secret Deck 06,Transcend!,A Titan has just died,"Choose a Titan other than the one that just died. That Titan immediately Awakens, then discards 1 @Trespass token",,
BP0707,Forge Nymph,Odyssey,Nymph,Cycle II,Tarot,Secret Deck 06,Masterpiece,None,"Resolve the _Forging a Masterpiece_ Special Event of your current Cycle Storybook (or Cycle II Storybook for Cycle I). Give the acquired @Gear card to one of the Argonauts, that @Gear card gains the {Argonaut Possession} keyword. After the next Battle: Lose that @Gear card permanently. The Argonaut gains the [Apathy|CF1261] Fated Mnemos card",,
BP0708,Blade Nymph,Odyssey,Nymph,Cycle II,Tarot,Secret Deck 06,Vorpal Secret,At least 1 Titan has died or drawn an Obol,"Assign this card and the Blade Nymph token to a Titan. As long as you have this card, you have +1 @Power. Before each Power Roll you must say if you will Wound the Primordial or not. If you waver, discard this card and your Weapon. If you're sure and then you do not Wound, discard this card, permanently lose your Weapon, and draw an Obol. <Start of your turn:> Discard the Blade Nymph token. If you cannot, discard this card instead",,
BP0709,Knowledge Nymph,Odyssey,Nymph,Cycle II,Tarot,Secret Deck 06,Page Infinite,Be on a @City tile. You cannot use Voyage Technology abilities this day,Immediately research 1 @CombatTech or @StructuralTech Technology. You need to meet the Technology card's requirements,,
BP0710,Mask Nymph,Odyssey,Nymph,Cycle II,Tarot,Secret Deck 06,"Face, Off",Start of Battle,"One Titan may perform their turn before the first Primordial Round, instead of in the first Titan Round",,
CP1321,Curiosity Nymph,Odyssey,Nymph,Cycle III,Tarot,Secret Deck 09,Insatiable Secret,@ArgoFate 6+,This Nymph does not exhaust. Immediately gain +1 @Progress or +1 @ArgoKnowledge. Gain +1 unavoidable @Doom,,
CP1322,Night Nymph,Odyssey,Nymph,Cycle III,Tarot,Secret Deck 09,Veil of Nyx,None,"Choose a waterway on any explored Map tile, leading to an unexplored tile. Reveal that tile and place the Night Nymph token on it. When you enter that tile, discard the token. Treat that tile as if you've just revealed it",,
CP1323,Age Nymph,Odyssey,Nymph,Cycle III,Tarot,Secret Deck 09,Aeon Bypass,At least 1 Titan has died,"Choose a Titan. During the Titan Round, the chosen Titan gains a bonus turn. OR When a Titan dies, place the Age Nymph token on their space or the closest legal free space. During the next Titan Round, the chosen Titan may discard the Age Nymph token to reappear in its space and take their turn. At the end of that Titan Round, the Titan disappears again",,
CP1324,Hope Nymph,Odyssey,Nymph,Cycle III,Tarot,Secret Deck 09,Stuff of Legends,There is only 1 Titan alive,"Until the end of Battle, the last Titan can perform an additional @MovementAction and @CombatAction. They cannot suffer {Knockdown} or {Time-clocked} and cannot gain @Rage over 9. When they resolve an Obol Draw, they always draw from the standard 2-card Obol deck",,
CP1325,Machina Nymph,Odyssey,Nymph,Cycle III,Tarot,Secret Deck 09,Postmodern Exorcism,At least 1 Titan has died,Unexhaust all @Gear of all Titans. Each prepared Argo Ability regains 1 @Energy token,,
DQ2051,Silica Nymph,Odyssey,Nymph,Cycle IV,Tarot,Secret Deck 14,Atomic Thaw,At least 1 Titan has died or drawn an Obol,Immediately create 6 Glass [Irem Tower|DI2028] tiles. A Glass Irem Tower loses the {Shifting} keyword and gains the {Destructible} keyword,,
DQ2052,Midas Nymph,Odyssey,Nymph,Cycle IV,Tarot,Secret Deck 14,The Double-Edged Coin,At least 1 Titan has died or you have 16+ Midas tokens among all your Titans,Immediately remove all Midas tokens and Conditon cards from all Titans. OR Immediately turn all Ambrosia tokens into Midas tokens,,
DQ2053,Natron Nymph,Odyssey,Nymph,Cycle IV,Tarot,Secret Deck 14,Memory of an Ancient Shore,When an Argonaut is about to die and either *During Battle:* At least 1 Titan has died. *During Voyage:* @Crew 3 or less. ,"Prevent the Argonaut death, as if you used an Echo of Recollection, and lose -1 Titan instead",,
